id;date;description;distance;average;grade;bike;reference;link;notes
1;2026-01-01;Ride 1;65.6;25.8;9.2;Santos;;;
2;2025-02-04;Ride 2;88.9;21.3;12.0;Rimonta;;;
3;2024-03-07;Ride 3;71.5;21.7;3.2;Santos;https://example.com/ride/3;Link;Nice ride
4;2023-04-10;Ride 4;79.6;23.9;1.9;Rimonta;;;
5;2026-05-13;Ride 5;68.8;23.2;10.5;Santos;https://example.com/ride/5;Link;
6;2025-06-16;Ride 6;35.2;26.6;8.0;Rimonta;https://example.com/ride/6;Link;
7;2024-07-19;Ride 7;39.8;27.2;11.6;Santos;;;
8;2023-08-22;Ride 8;32.8;23.8;10.9;Rimonta;https://example.com/ride/8;Link;Nice ride
9;2026-09-25;Ride 9;25.0;25.7;4.8;Santos;https://example.com/ride/9;Link;Nice ride
10;2025-10-01;Ride 10;56.2;28.1;7.2;Rimonta;;;
11;2024-11-04;Ride 11;96.5;28.1;11.6;Santos;https://example.com/ride/11;Link;Nice ride
12;2023-12-07;Ride 12;82.8;25.1;11.8;Rimonta;https://example.com/ride/12;Link;
13;2026-01-10;Ride 13;90.8;22.9;7.2;Santos;;;Nice ride
14;2025-02-13;Ride 14;92.7;25.0;3.6;Rimonta;;;Nice ride
15;2024-03-16;Ride 15;43.1;27.9;0.9;Santos;;;Nice ride
16;2023-04-19;Ride 16;63.5;29.8;7.3;Rimonta;https://example.com/ride/16;Link;
17;2026-05-22;Ride 17;33.3;28.4;8.9;Santos;https://example.com/ride/17;Link;Nice ride
18;2025-06-25;Ride 18;21.2;28.0;2.6;Rimonta;https://example.com/ride/18;Link;Nice ride
19;2024-07-01;Ride 19;82.1;28.8;10.1;Santos;;;Nice ride
20;2023-08-04;Ride 20;50.9;29.6;8.6;Rimonta;;;
